test_path,test_label,test_class,nearest_train_path,nearest_train_label,hamming_distance,is_near_duplicate
color/Soybean___healthy/b227114e-2b04-4d6f-bb30-6ae75fccbdde___RS_HL 6322.JPG,24,Soybean___healthy,color/Soybean___healthy/ed1c954a-2d5f-42aa-bdc3-a644184a326e___RS_HL 6321.JPG,24,4,True
color/Soybean___healthy/b9718434-1c01-4624-8c23-3306cd0d5758___RS_HL 6357.JPG,24,Soybean___healthy,color/Soybean___healthy/15df4eb1-b310-4fc3-92d2-17eb147cfdc4___RS_HL 6356.JPG,24,4,True
color/Soybean___healthy/ba07dce8-e521-4670-ad69-119e835010fe___RS_HL 6206.JPG,24,Soybean___healthy,color/Soybean___healthy/23770740-36a5-4fcf-8a43-4cf9699a7205___RS_HL 6602.JPG,24,4,True
color/Soybean___healthy/bd99e361-f8fe-4fdd-b07d-8e17a501f710___RS_HL 3510.JPG,24,Soybean___healthy,color/Raspberry___healthy/a8bea1f3-eff7-4819-b0a8-72259d864518___Mary_HL 6376.JPG,23,4,True
color/Soybean___healthy/beccae9f-3e65-4e7b-9eb3-f9584cbdb89d___RS_HL 4627.JPG,24,Soybean___healthy,color/Soybean___healthy/fe22e33f-80de-4771-9dbe-68be9f4a21a9___RS_HL 4661.JPG,24,4,True
color/Soybean___healthy/c21e4288-abd0-471b-9dc0-9ab0c08d9acd___RS_HL 6932.JPG,24,Soybean___healthy,"color/Pepper,_bell___healthy/9cde7a11-a044-4ca6-b1f1-4507b867f915___JR_HL 8580.JPG",19,4,True
color/Soybean___healthy/c642c062-ebf4-4afd-b286-983a7e601347___RS_HL 3925.JPG,24,Soybean___healthy,color/Soybean___healthy/cf618584-36d1-4c0b-86e7-6488da883d50___RS_HL 3475.JPG,24,2,True
color/Soybean___healthy/c87321e2-d5a4-4153-b3b9-c099cdf1db5d___RS_HL 3828.JPG,24,Soybean___healthy,color/Cherry_(including_sour)___healthy/005f183c-0a73-4738-91f7-c0a0e02cd9e3___JR_HL 9679.JPG,6,4,True
color/Soybean___healthy/ca9ed23b-87b3-4ed8-bb7c-4c7a337c2980___RS_HL 5013.JPG,24,Soybean___healthy,color/Soybean___healthy/2a717d99-b66d-4681-b642-d6cb6fa23775___RS_HL 4081.JPG,24,4,True
color/Soybean___healthy/cb14875a-e0a9-48e1-9747-0d35b4ddcad8___RS_HL 7304.JPG,24,Soybean___healthy,color/Soybean___healthy/aa41bf8a-dd9d-42bb-ae62-fff4c02523dc___RS_HL 7306.JPG,24,2,True
color/Soybean___healthy/cc08e799-035e-4c08-b753-92e3863493e1___RS_HL 5526.JPG,24,Soybean___healthy,color/Soybean___healthy/fe79b51f-a37e-4852-b4b8-bda523e9da39___RS_HL 5528.JPG,24,4,True
color/Soybean___healthy/cc26489a-267e-405a-9c10-5f9cb290fcad___RS_HL 5432.JPG,24,Soybean___healthy,color/Soybean___healthy/c072aed5-b91b-4d4d-a7b4-9ae81591ef08___RS_HL 4493.JPG,24,4,True
color/Soybean___healthy/d041f7ce-7165-4e76-baa2-f4e84527f2cc___RS_HL 4112.JPG,24,Soybean___healthy,color/Soybean___healthy/4ba98db0-c81a-480e-80b4-02bac8491be9___RS_HL 4830.JPG,24,4,True
color/Soybean___healthy/d0e3c820-9795-4fb8-b0d0-136176a7c7f5___RS_HL 6554.JPG,24,Soybean___healthy,color/Raspberry___healthy/68c91797-4323-4a34-a203-8393cdf3889b___Mary_HL 9143.JPG,23,4,True
color/Soybean___healthy/d6498a4d-1725-4a1b-b327-5e89fa566b94___RS_HL 5637 1.JPG,24,Soybean___healthy,color/Soybean___healthy/27a2656d-1dfc-46f0-a4c8-9c706b10e631___RS_HL 4759.JPG,24,4,True
color/Soybean___healthy/d9dd6972-a327-448f-8ca8-ea1beedd1a59___RS_HL 5305.JPG,24,Soybean___healthy,color/Soybean___healthy/48e98191-aac8-4643-bfb2-30f53cef904c___RS_HL 4659.JPG,24,4,True
color/Soybean___healthy/e2d95430-fdbf-4668-aaea-2018ea829f5a___RS_HL 4903.JPG,24,Soybean___healthy,color/Soybean___healthy/3c845900-ab47-4ee0-81d0-796ab7c42735___RS_HL 6810.JPG,24,4,True
color/Soybean___healthy/e3857933-e537-4a7d-8bcc-bdcc9bcad188___RS_HL 4564.JPG,24,Soybean___healthy,color/Soybean___healthy/f0ff50ed-8dd1-4b17-903c-9d7840b054cb___RS_HL 3490.JPG,24,4,True
color/Soybean___healthy/e5bd6ccc-2b3b-4065-99ba-303491819ba1___RS_HL 6222.JPG,24,Soybean___healthy,color/Soybean___healthy/563ec871-3c87-4bcc-a6c7-2ed5ec2f9da5___RS_HL 6269.JPG,24,4,True
color/Soybean___healthy/e67b3438-c1bc-438d-aea3-10cf53b487bd___RS_HL 6273.JPG,24,Soybean___healthy,color/Soybean___healthy/8fd25130-c307-4951-8ccb-33cb63c30cfc___RS_HL 6274.JPG,24,4,True
color/Soybean___healthy/e91d3d42-f796-4dba-9890-ca2dd1613e08___RS_HL 5246.JPG,24,Soybean___healthy,color/Soybean___healthy/b7174c7a-1316-4850-92b5-a55fc8cd84bb___RS_HL 3670.JPG,24,4,True
color/Soybean___healthy/e9f66b73-87a7-42fc-b2fa-081cd7ef6126___RS_HL 5852.JPG,24,Soybean___healthy,color/Soybean___healthy/3a6552de-3446-4462-99c4-107948d5e512___RS_HL 5864.JPG,24,4,True
color/Soybean___healthy/ecfb13fb-cbfa-4755-bc9b-c9737b830758___RS_HL 4620.JPG,24,Soybean___healthy,color/Soybean___healthy/0010d6a1-64f1-4997-99d8-6d86fa629014___RS_HL 6967.JPG,24,4,True
color/Soybean___healthy/f236f6a4-64b3-4c45-aaa6-c3e55db4c085___RS_HL 4689.JPG,24,Soybean___healthy,color/Soybean___healthy/cc97c816-b895-47ba-818f-b244bba27581___RS_HL 3775.JPG,24,4,True
color/Soybean___healthy/f3c57be2-18c4-4750-9400-251b0fd52670___RS_HL 4756.JPG,24,Soybean___healthy,color/Soybean___healthy/98d508a8-53fb-483a-95ad-ddf7bda3fa8d___RS_HL 4602.JPG,24,4,True
color/Soybean___healthy/f47feb83-da09-4f5a-b2a1-82b40b244879___RS_HL 5571.JPG,24,Soybean___healthy,color/Soybean___healthy/0ace9851-e45a-4cca-a565-bcd9e901732f___RS_HL 5573.JPG,24,4,True
color/Soybean___healthy/f4fd0042-6947-4a0d-b652-935b59b07b1f___RS_HL 4675.JPG,24,Soybean___healthy,color/Soybean___healthy/7bf4e930-96fe-485c-b60d-205a24bb022d___RS_HL 5382.JPG,24,4,True
color/Soybean___healthy/f64a17dd-cbc4-49ae-8141-4ad559e9eb1d___RS_HL 2845.JPG,24,Soybean___healthy,color/Soybean___healthy/1d1d56bc-6645-493f-a6bb-4904aadc3c25___RS_HL 3292.JPG,24,4,True
color/Soybean___healthy/f6e67c9d-cbeb-4d55-a2ef-64479e7dec65___RS_HL 4604.JPG,24,Soybean___healthy,color/Soybean___healthy/0a78db40-b53d-4d33-90fd-c26323f77258___RS_HL 5081.JPG,24,4,True
color/Soybean___healthy/f74b5035-34b3-4415-8ba7-35e38bc15ecb___RS_HL 5587.JPG,24,Soybean___healthy,color/Soybean___healthy/74e73fa7-c639-4b92-9f55-416ac50bc7cf___RS_HL 5586.JPG,24,4,True
color/Soybean___healthy/f7800cef-542e-4c6d-8c69-78fb88ccc276___RS_HL 6417.JPG,24,Soybean___healthy,color/Soybean___healthy/021fd775-de0f-4583-ade1-ebfe61f2ae6f___RS_HL 6075.JPG,24,4,True
color/Soybean___healthy/f9198ceb-ffc3-4317-85ce-42ad400d3a10___RS_HL 5368.JPG,24,Soybean___healthy,color/Raspberry___healthy/e340b2c7-6658-482f-b424-25ef4ae877a3___Mary_HL 9242.JPG,23,4,True
color/Soybean___healthy/f94d610a-3d85-4a13-bf89-66622f71c4a0___RS_HL 5301.JPG,24,Soybean___healthy,color/Soybean___healthy/d39b2306-9188-459e-81e2-dba01b77c0ce___RS_HL 4482.JPG,24,4,True
color/Soybean___healthy/f9a54022-6065-43f6-8017-f178630158a7___RS_HL 5982.JPG,24,Soybean___healthy,color/Soybean___healthy/04f9ace6-096a-40ab-8e3b-2a3be9eb8464___RS_HL 5862.JPG,24,4,True
color/Soybean___healthy/fc60273f-9361-41d8-9af5-51aca1e8175a___RS_HL 4170.JPG,24,Soybean___healthy,color/Soybean___healthy/89825f00-f926-4244-96e8-bdcd9dcf2603___RS_HL 5231.JPG,24,4,True
color/Soybean___healthy/fc87d792-f83d-439e-a27a-afcf478c037b___RS_HL 2891.JPG,24,Soybean___healthy,color/Soybean___healthy/7194440d-9548-4e56-b058-ac286252af75___RS_HL 2746.JPG,24,2,True
color/Soybean___healthy/fff606e6-7949-44cf-90d3-9507d2a97cfe___RS_HL 4083.JPG,24,Soybean___healthy,color/Soybean___healthy/0d95ffb5-68ae-437c-8971-4b3c3c6b6e21___RS_HL 4059.JPG,24,4,True
color/Strawberry___Leaf_scorch/1f2420de-a55f-4538-934a-ed289da7a953___RS_L.Scorch 1145.JPG,26,Strawberry___Leaf_scorch,color/Potato___Late_blight/e47b3a9a-24ea-460a-8a8f-4fc9814a072e___RS_LB 3314.JPG,21,4,True
color/Tomato___Bacterial_spot/29184f19-db21-475d-8032-a8b7c3a9c7f4___GCREC_Bact.Sp 5784.JPG,28,Tomato___Bacterial_spot,color/Tomato___Bacterial_spot/5c5dbca4-4322-4227-a543-6ff6f876a531___GCREC_Bact.Sp 5785.JPG,28,4,True
color/Tomato___Bacterial_spot/e5ebe0ed-8be8-46c8-a209-32b00ad5f65e___GCREC_Bact.Sp 6033.JPG,28,Tomato___Bacterial_spot,"color/Pepper,_bell___healthy/c013ccc6-b716-4945-b256-ca39c5e9a201___JR_HL 8842.JPG",19,4,True
color/Tomato___Early_blight/7b32caa4-0d67-4b84-a1bf-cf9dffd7ffe5___RS_Erly.B 6405.JPG,29,Tomato___Early_blight,color/Soybean___healthy/c687d59a-328b-4a10-8287-0dd57125b409___RS_HL 4013.JPG,24,4,True
color/Tomato___Late_blight/5de6da85-f8c4-48c4-b463-3e6bd78884cc___GHLB_PS Leaf 24 Day 16.jpg,30,Tomato___Late_blight,color/Tomato___Late_blight/3fae9c64-18f0-4a67-9f97-554248bb1bed___GHLB_PS Leaf 24 Day 16.jpg,30,0,True
color/Tomato___Spider_mites Two-spotted_spider_mite/646aa524-ba89-4228-bd91-16d693ff1283___Com.G_SpM_FL 8835.JPG,33,Tomato___Spider_mites Two-spotted_spider_mite,color/Tomato___Septoria_leaf_spot/648d66b5-7f12-4baa-beba-4938ede59013___JR_Sept.L.S 2625.JPG,32,4,True
color/Tomato___Spider_mites Two-spotted_spider_mite/ce05bc05-0c4c-4290-903c-f46ab2ba1f53___Com.G_SpM_FL 9283.JPG,33,Tomato___Spider_mites Two-spotted_spider_mite,color/Tomato___Spider_mites Two-spotted_spider_mite/af0d2ecc-72f9-40ca-ad16-b3ef9419e9ec___Com.G_SpM_FL 9559.JPG,33,4,True
color/Tomato___Tomato_Yellow_Leaf_Curl_Virus/02cb40d6-550a-42fb-99ce-247e4406a322___UF.GRC_YLCV_Lab 02991.JPG,35,Tomato___Tomato_Yellow_Leaf_Curl_Virus,color/Tomato___Tomato_Yellow_Leaf_Curl_Virus/acb9169b-21bc-4b31-ba3c-a24909521156___UF.GRC_YLCV_Lab 02981.JPG,35,4,True
color/Tomato___Tomato_Yellow_Leaf_Curl_Virus/38df156b-eafd-4610-9649-67c51d016a13___UF.GRC_YLCV_Lab 01776.JPG,35,Tomato___Tomato_Yellow_Leaf_Curl_Virus,color/Tomato___Tomato_Yellow_Leaf_Curl_Virus/af67ecf5-473c-499e-9488-e0d349f90e9b___UF.GRC_YLCV_Lab 01777.JPG,35,4,True
color/Tomato___Tomato_Yellow_Leaf_Curl_Virus/a65c03a7-d1ef-4e78-931d-881d37383224___UF.GRC_YLCV_Lab 01641.JPG,35,Tomato___Tomato_Yellow_Leaf_Curl_Virus,color/Tomato___Tomato_Yellow_Leaf_Curl_Virus/9dfccce4-a7a8-491c-b326-850bafbe8ff2___UF.GRC_YLCV_Lab 01640.JPG,35,4,True
color/Tomato___Tomato_Yellow_Leaf_Curl_Virus/adb5b398-73ef-481c-90da-62bad3128135___UF.GRC_YLCV_Lab 08481.JPG,35,Tomato___Tomato_Yellow_Leaf_Curl_Virus,color/Tomato___Tomato_Yellow_Leaf_Curl_Virus/e5b39e29-e605-41fe-98ea-ba1e47f062b8___UF.GRC_YLCV_Lab 08475.JPG,35,4,True
color/Tomato___Tomato_Yellow_Leaf_Curl_Virus/b89e6dce-ebc9-4eac-a0f8-19e34657f6e1___UF.GRC_YLCV_Lab 02067.JPG,35,Tomato___Tomato_Yellow_Leaf_Curl_Virus,color/Tomato___Tomato_Yellow_Leaf_Curl_Virus/7bff3fb7-788d-414c-bf0e-92a5ce4a4757___UF.GRC_YLCV_Lab 02064.JPG,35,4,True
